Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Afghanistan,AFG,26.026
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Africa Eastern and Southern,AFE,36.7833061490919
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Africa Western and Central,AFW,47.8486254352506
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Albania,ALB,62.112
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Algeria,DZA,73.733
Urban population (% of total population),SP.URB.TOTL.IN.ZS,American Samoa,ASM,87.153
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Andorra,AND,87.916
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Angola,AGO,66.825
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Antigua and Barbuda,ATG,24.433
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Arab World,ARB,59.4717656085527
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Argentina,ARG,92.111
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Armenia,ARM,63.313
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Aruba,ABW,43.697
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Australia,AUS,86.241
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Austria,AUT,58.748
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Azerbaijan,AZE,56.397
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Bahamas, The",BHS,83.245
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bahrain,BHR,89.506
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bangladesh,BGD,38.177
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Barbados,BRB,31.191
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Belarus,BLR,79.483
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Belgium,BEL,98.079
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Belize,BLZ,46.025
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Benin,BEN,48.415
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bermuda,BMU,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bhutan,BTN,42.316
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bolivia,BOL,70.123
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bosnia and Herzegovina,BIH,49.02
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Botswana,BWA,70.877
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Brazil,BRA,87.073
Urban population (% of total population),SP.URB.TOTL.IN.ZS,British Virgin Islands,VGB,48.515
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Brunei Darussalam,BRN,78.25
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bulgaria,BGR,75.686
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Burkina Faso,BFA,30.607
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Burundi,BDI,13.708
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cabo Verde,CPV,66.652
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cambodia,KHM,24.232
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cameroon,CMR,57.56
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Canada,CAN,81.562
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Caribbean small states,CSS,51.5564381985332
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cayman Islands,CYM,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Central African Republic,CAF,42.198
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Central Europe and the Baltics,CEB,62.5588958078877
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Chad,TCD,23.52
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Channel Islands,CHI,30.963
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Chile,CHL,87.727
Urban population (% of total population),SP.URB.TOTL.IN.ZS,China,CHN,61.428
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Colombia,COL,81.425
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Comoros,COM,29.38
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Congo, Dem. Rep.",COD,45.638
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Congo, Rep.",COG,67.829
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Costa Rica,CRI,80.771
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cote d'Ivoire,CIV,51.706
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Croatia,HRV,57.553
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cuba,CUB,77.194
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Curacao,CUW,89.062
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cyprus,CYP,66.821
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Czech Republic,CZE,74.061
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Denmark,DNK,88.116
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Djibouti,DJI,78.062
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Dominica,DMA,71.09
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Dominican Republic,DOM,82.54
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Early-demographic dividend,EAR,45.9592079871492
Urban population (% of total population),SP.URB.TOTL.IN.ZS,East Asia & Pacific,EAS,60.6977620263709
Urban population (% of total population),SP.URB.TOTL.IN.ZS,East Asia & Pacific (excluding high income),EAP,57.4973051481106
Urban population (% of total population),SP.URB.TOTL.IN.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,57.4366507643115
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Ecuador,ECU,64.166
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Egypt, Arab Rep.",EGY,42.783
Urban population (% of total population),SP.URB.TOTL.IN.ZS,El Salvador,SLV,73.444
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Equatorial Guinea,GNQ,73.1
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Eritrea,ERI,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Estonia,EST,69.229
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Eswatini,SWZ,24.171
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Ethiopia,ETH,21.695
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Euro area,EMU,77.461870037383
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Europe & Central Asia,ECS,72.6150395580392
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Europe & Central Asia (excluding high income),ECA,67.3655449976381
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,66.6757402336146
Urban population (% of total population),SP.URB.TOTL.IN.ZS,European Union,EUU,74.9565121046892
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Faroe Islands,FRO,42.398
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Fiji,FJI,57.247
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Finland,FIN,85.517
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Fragile and conflict affected situations,FCS,42.6433256521919
Urban population (% of total population),SP.URB.TOTL.IN.ZS,France,FRA,80.975
Urban population (% of total population),SP.URB.TOTL.IN.ZS,French Polynesia,PYF,61.975
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Gabon,GAB,90.092
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Gambia, The",GMB,62.582
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Georgia,GEO,59.453
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Germany,DEU,77.453
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Ghana,GHA,57.349
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Gibraltar,GIB,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Greece,GRC,79.715
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Greenland,GRL,87.282
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Grenada,GRD,36.537
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Guam,GUM,94.938
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Guatemala,GTM,51.836
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Guinea,GIN,36.875
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Guinea-Bissau,GNB,44.196
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Guyana,GUY,26.786
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Haiti,HTI,57.088
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Heavily indebted poor countries (HIPC),HPC,36.9630236104351
Urban population (% of total population),SP.URB.TOTL.IN.ZS,High income,HIC,81.7553882986929
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Honduras,HND,58.359
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Hong Kong SAR, China",HKG,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Hungary,HUN,71.942
Urban population (% of total population),SP.URB.TOTL.IN.ZS,IBRD only,IBD,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Iceland,ISL,93.898
Urban population (% of total population),SP.URB.TOTL.IN.ZS,IDA & IBRD total,IBT,51.4809951051545
Urban population (% of total population),SP.URB.TOTL.IN.ZS,IDA blend,IDB,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,IDA only,IDX,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,IDA total,IDA,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,India,IND,34.926
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Indonesia,IDN,56.641
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Iran, Islamic Rep.",IRN,75.874
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Iraq,IRQ,70.893
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Ireland,IRL,63.653
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Isle of Man,IMN,52.898
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Israel,ISR,92.587
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Italy,ITA,71.039
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Jamaica,JAM,56.311
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Japan,JPN,91.782
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Jordan,JOR,91.418
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Kazakhstan,KAZ,57.671
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Kenya,KEN,27.995
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Kiribati,KIR,55.594
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Korea, Dem. People's Rep.",PRK,62.381
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Korea, Rep.",KOR,81.414
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Kosovo,XKX,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Kuwait,KWT,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Kyrgyz Republic,KGZ,36.856
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Lao PDR,LAO,36.29
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Late-demographic dividend,LTE,64.0996411599834
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Latin America & Caribbean,LCN,81.1180900692708
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Latin America & Caribbean (excluding high income),LAC,80.5144457701328
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,81.1461034090423
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Latvia,LVA,68.315
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Least developed countries: UN classification,LDC,34.6407348362421
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Lebanon,LBN,88.925
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Lesotho,LSO,29.028
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Liberia,LBR,52.089
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Libya,LBY,80.691
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Liechtenstein,LIE,14.416
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Lithuania,LTU,68.046
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Low & middle income,LMY,51.2436499134785
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Low income,LIC,33.4508610838983
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Lower middle income,LMC,42.4431319430444
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Luxembourg,LUX,91.453
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Macao SAR, China",MAC,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Madagascar,MDG,38.534
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Malawi,MWI,17.427
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Malaysia,MYS,77.16
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Maldives,MDV,40.669
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Mali,MLI,43.909
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Malta,MLT,94.744
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Marshall Islands,MHL,77.794
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Mauritania,MRT,55.327
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Mauritius,MUS,40.76
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Mexico,MEX,80.731
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Micronesia, Fed. Sts.",FSM,22.933
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Middle East & North Africa,MEA,65.9741365430288
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Middle East & North Africa (excluding high income),MNA,62.2098285066013
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,62.0317464319283
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Middle income,MIC,53.2662425906809
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Moldova,MDA,42.849
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Monaco,MCO,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Mongolia,MNG,68.657
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Montenegro,MNE,67.488
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Morocco,MAR,63.532
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Mozambique,MOZ,37.074
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Myanmar,MMR,31.141
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Namibia,NAM,52.033
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Nauru,NRU,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Nepal,NPL,20.576
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Netherlands,NLD,92.236
Urban population (% of total population),SP.URB.TOTL.IN.ZS,New Caledonia,NCL,71.518
Urban population (% of total population),SP.URB.TOTL.IN.ZS,New Zealand,NZL,86.699
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Nicaragua,NIC,59.012
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Niger,NER,16.626
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Nigeria,NGA,51.958
Urban population (% of total population),SP.URB.TOTL.IN.ZS,North America,NAC,82.5530665548055
Urban population (% of total population),SP.URB.TOTL.IN.ZS,North Macedonia,MKD,58.482
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Northern Mariana Islands,MNP,91.798
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Norway,NOR,82.974
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Not classified,INX,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,OECD members,OED,81.01559004659
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Oman,OMN,86.276
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Other small states,OSS,63.062408361738
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Pacific island small states,PSS,39.2578875204729
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Pakistan,PAK,37.165
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Palau,PLW,80.988
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Panama,PAN,68.414
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Papua New Guinea,PNG,13.345
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Paraguay,PRY,62.183
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Peru,PER,78.297
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Philippines,PHL,47.408
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Poland,POL,60.043
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Portugal,PRT,66.31
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Post-demographic dividend,PST,81.6563417352894
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Pre-demographic dividend,PRE,42.3304784703917
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Puerto Rico,PRI,93.581
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Qatar,QAT,99.235
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Romania,ROU,54.194
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Russian Federation,RUS,74.754
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Rwanda,RWA,17.432
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Samoa,WSM,17.889
Urban population (% of total population),SP.URB.TOTL.IN.ZS,San Marino,SMR,97.499
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sao Tome and Principe,STP,74.354
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Saudi Arabia,SAU,84.287
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Senegal,SEN,48.122
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Serbia,SRB,56.446
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Seychelles,SYC,57.546
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sierra Leone,SLE,42.923
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Singapore,SGP,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sint Maarten (Dutch part),SXM,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Slovak Republic,SVK,53.76
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Slovenia,SVN,55.118
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Small states,SST,59.582993303187
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Solomon Islands,SLB,24.67
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Somalia,SOM,46.141
Urban population (% of total population),SP.URB.TOTL.IN.ZS,South Africa,ZAF,67.354
Urban population (% of total population),SP.URB.TOTL.IN.ZS,South Asia,SAS,34.8822931298263
Urban population (% of total population),SP.URB.TOTL.IN.ZS,South Asia (IDA & IBRD),TSA,34.8822931298263
Urban population (% of total population),SP.URB.TOTL.IN.ZS,South Sudan,SSD,20.199
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Spain,ESP,80.81
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sri Lanka,LKA,18.713
Urban population (% of total population),SP.URB.TOTL.IN.ZS,St. Kitts and Nevis,KNA,30.843
Urban population (% of total population),SP.URB.TOTL.IN.ZS,St. Lucia,LCA,18.841
Urban population (% of total population),SP.URB.TOTL.IN.ZS,St. Martin (French part),MAF,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,St. Vincent and the Grenadines,VCT,53.032
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sub-Saharan Africa,SSF,41.2521423477946
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sub-Saharan Africa (excluding high income),SSA,41.2507300248977
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,41.2521423477946
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sudan,SDN,35.253
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Suriname,SUR,66.149
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sweden,SWE,87.977
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Switzerland,CHE,73.915
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Syrian Arab Republic,SYR,55.475
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Tajikistan,TJK,27.506
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Tanzania,TZA,35.227
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Thailand,THA,51.43
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Timor-Leste,TLS,31.32
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Togo,TGO,42.8
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Tonga,TON,23.099
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Trinidad and Tobago,TTO,53.214
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Tunisia,TUN,69.568
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Turkey,TUR,76.105
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Turkmenistan,TKM,52.516
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Turks and Caicos Islands,TCA,93.605
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Tuvalu,TUV,64.014
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Uganda,UGA,24.954
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Ukraine,UKR,69.608
Urban population (% of total population),SP.URB.TOTL.IN.ZS,United Arab Emirates,ARE,87.048
Urban population (% of total population),SP.URB.TOTL.IN.ZS,United Kingdom,GBR,83.903
Urban population (% of total population),SP.URB.TOTL.IN.ZS,United States,USA,82.664
